"MIC"	"COUNTRY"	"ISO COUNTRY CODE (ISO 3166)"	"OPERATING MIC"	"O/S"	"NAME-INSTITUTION DESCRIPTION"	"ACRONYM"	"CITY"	"WEBSITE"	"STATUS DATE"	"STATUS"	"CREATION DATE"	"COMMENTS"
"EMID"	"ITALY"	"IT"	"EMID"	"O"	"E-MID"		"MILANO"	"WWW.E-MID.IT"	"MAY 2010"	"ACTIVE"	"MAY 2010"	"MARKET FOR INTERBANK DEPOSITS IN EUROPE."
"EMIR"	"ITALY"	"IT"	"EMID"	"S"	"E-MID REPO"		"MILANO"	"WWW.E-MID.IT"	"NOVEMBER 2011"	"ACTIVE"	"NOVEMBER 2011"	"ELECTRONIC TRADING PLATFORM FOR REPO TRADES."
"EMTF"	"LUXEMBOURG"	"LU"	"XLUX"	"S"	"EURO MTF"		"LUXEMBOURG"	"WWW.BOURSE.LU"	"JUNE 2005"	"ACTIVE"	"JUNE 2005"	
"EMTS"	"UNITED KINGDOM"	"GB"	"XMTS"	"S"	"EUROMTS"	"EMTS"	"LONDON"	"WWW.EUROMTS-LTD.COM"	"JUNE 2005"	"ACTIVE"	"JUNE 2005"	
"ENAX"	"GREECE"	"GR"	"ASEX"	"S"	"ATHENS EXCHANGE ALTERNATIVE MARKET"	"ENAX"	"ATHENS"	"WWW.ATHEXGROUP.GR"	"NOVEMBER 2016"	"ACTIVE"	"NOVEMBER 2007"	
"ENCL"	"UNITED KINGDOM"	"GB"	"ENCL"	"O"	"ENCLEAR"	"ENC"	"LONDON"	"WWW.LCHCLEARNET.COM"	"OCTOBER 2013"	"ACTIVE"	"OCTOBER 2013"	"LCH.CLEARNET ENCLEAR PROVIDES AN OTC CLEARING SERVICE FOR VARIOUS COMMODITY PRODUCTS INCLUDING FREIGHT, CONTAINERS, EMISSIONS, IRON ORE, FERTILISER & COAL."
"ENSX"	"SWEDEN"	"SE"	"SEBX"	"S"	"SEB ENSKILDA"		"STOCKHOLM"	"WWW.SEB.SE"	"NOVEMBER 2012"	"ACTIVE"	"NOVEMBER 2012"	"SEB ENSKILADA LIQUIDITY POOL."
"ENXB"	"BELGIUM"	"BE"	"XBRU"	"S"	"EURONEXT - EASY NEXT"		"BRUSSELS"	"WWW.EURONEXT.COM"	"APRIL 2015"	"ACTIVE"	"JUNE 2008"	"MULTILATERAL TRADING FACILITY FOR WARRANTS AND CERTIFICATES"
"ENXL"	"PORTUGAL"	"PT"	"XLIS"	"S"	"EURONEXT - EASYNEXT LISBON"		"LISBOA"	"WWW.EURONEXT.COM"	"APRIL 2015"	"ACTIVE"	"AUGUST 2007"	
"EOTC"	"HONG KONG"	"HK"	"EOTC"	"O"	"E-OTC"		"HONG KONG"	"WWW.CONNECTED-MARKETS.COM"	"FEBRUARY 2010"	"ACTIVE"	"FEBRUARY 2010"	"INTERNET-BASED BULLETIN BOARD FOR POSTING INDICATIONS OF INTEREST IN BUYING AND SELLING OTC DERIVATIVES, PRIMARILY FOCUSED ON CREDIT DEFAULT SWAPS."
"EPEX"	"FRANCE"	"FR"	"EPEX"	"O"	"EPEX SPOT SE"		"PARIS"	"WWW.EPEXSPOT.COM"	"SEPTEMBER 2009"	"ACTIVE"	"SEPTEMBER 2009"	"EUROPEAN POWER EXCHANGE (DAY AHEAD AND INTRADAY MARKETS FOR ELECTRICITY IN CENTRAL EUROPE)."
"EQLD"	"UNITED KINGDOM"	"GB"	"EQLD"	"O"	"EQUILEND EUROPE LIMITED"		"LONDON"	"WWW.EQUILEND.COM"	"AUGUST 2013"	"ACTIVE"	"AUGUST 2013"	"MULTILATERAL TRADING FACILITY"
"EQTA"	"GERMANY"	"DE"	"XBER"	"S"	"BOERSE BERLIN EQUIDUCT TRADING - REGULIERTER MARKT"		"BERLIN"	"WWW.EQUIDUCT-TRADING.DE"	"MAY 2008"	"ACTIVE"	"MAY 2008"	"ELECTRONIC TRADING SYSTEM."
"EQTB"	"GERMANY"	"DE"	"XBER"	"S"	"BOERSE BERLIN EQUIDUCT TRADING - BERLIN SECOND REGULATED MARKET"		"BERLIN"	"WWW.EQUIDUCT-TRADING.DE"	"MARCH 2010"	"ACTIVE"	"MARCH 2010"	"ELECTRONIC TRADING SYSTEM."
"EQTC"	"GERMANY"	"DE"	"XBER"	"S"	"BOERSE BERLIN EQUIDUCT TRADING - FREIVERKEHR"		"BERLIN"	"WWW.EQUIDUCT-TRADING.DE"	"AUGUST 2010"	"ACTIVE"	"AUGUST 2010"	"ELECTRONIC TRADING SYSTEM."
"EQTD"	"GERMANY"	"DE"	"XBER"	"S"	"BOERSE BERLIN EQUIDUCT TRADING - OTC"		"BERLIN"	"WWW.EQUIDUCT-TRADING.DE"	"JANUARY 2011"	"ACTIVE"	"JANUARY 2011"	"ELECTRONIC TRADING SYSTEM."
"ERIS"	"UNITED STATES OF AMERICA"	"US"	"ERIS"	"O"	"ERIS EXCHANGE"		"CHICAGO"	"WWW.ERISFUTURES.COM"	"MARCH 2012"	"ACTIVE"	"MARCH 2012"	
"ESPD"	"UNITED STATES OF AMERICA"	"US"	"XNAS"	"S"	"NASDAQ OMX ESPEED"	"ESPEED"	"NEW YORK"	"WWW.NASDAQOMX.COM"	"SEPTEMBER 2013"	"ACTIVE"	"SEPTEMBER 2013"	"ELECTRONIC FIXED INCOME TRADING PLATFORM"
"ETFP"	"ITALY"	"IT"	"XMIL"	"S"	"ELECTRONIC OPEN-END FUNDS AND ETC MARKET"	"ETFPLUS"	"MILANO"	"WWW.BORSAITALIANA.IT"	"SEPTEMBER 2007"	"ACTIVE"	"SEPTEMBER 2007"	
"ETLX"	"ITALY"	"IT"	"ETLX"	"O"	"EUROTLX"		"MILANO"	"WWW.EUROTLX.COM"	"AUGUST 2007"	"ACTIVE"	"AUGUST 2007"	
"ETSC"	"KAZAKHSTAN"	"KZ"	"ETSC"	"O"	"ETS EURASIAN TRADING SYSTEM COMMODITY EXCHANGE"		"ALMATY"	"WWW.ETS.KZ/EN/"	"JULY 2010"	"ACTIVE"	"JULY 2010"	"THE REGIONAL FINANCIAL CENTRE OF ALMATY CITY (RFCA) AND OJSC ""RUSSIAN TRADING SYSTEM"" STOCK EXCHANGE HAVE SET UP A COMMODITY EXCHANGE, JSC ""EURASIAN TRADING SYSTEM"" HEADQUARTERED IN ALMATY, KAZAKHSTAN."
"EUCH"	"SWITZERLAND"	"CH"	"EUCH"	"O"	"EUREX ZURICH"		"ZURICH"	"WWW.EUREXREPO.COM"	"JULY 2012"	"ACTIVE"	"JULY 2012"	
"EURM"	"SWITZERLAND"	"CH"	"EUCH"	"S"	"EUREX REPO MARKET"		"ZURICH"	"WWW.EUREXREPO.COM"	"JULY 2012"	"ACTIVE"	"JULY 2012"	"EUREX SWISS REPO MARKET."
"EUSC"	"SWITZERLAND"	"CH"	"EUCH"	"S"	"EUREX CH SECLEND MARKET"		"ZURICH"	"WWW.EUREXREPO.COM"	"JULY 2012"	"ACTIVE"	"JULY 2012"	"EUREX SWISS SECURITIES LENDING MARKET."
"EUSP"	"SWITZERLAND"	"CH"	"EUCH"	"S"	"EUREX OTC SPOT MARKET"		"ZURICH"	"WWW.EUREXREPO.COM"	"JULY 2012"	"ACTIVE"	"JULY 2012"	"EUREX SWISS OTC/SPOT MARKET."
"EUWB"	"SWEDEN"	"SE"	"XSTO"	"S"	"NASDAQ STOCKHOLM AB - EUR WB EQ DERIVATIVES"		"STOCKHOLM"	"WWW.NASDAQOMXNORDIC.COM"	"APRIL 2017"	"ACTIVE"	"APRIL 2017"	
"EUWX"	"GERMANY"	"DE"	"XSTU"	"S"	"EUWAX"	"EUWAX"	"STUTTGART"	"WWW.EUWAX.DE"	"JUNE 2005"	"ACTIVE"	"JUNE 2005"	
"EWSM"	"MALTA"	"MT"	"EWSM"	"O"	"EUROPEAN WHOLESALE SECURITIES MARKET"	"EWSM"	"VALLETTA"	"WWW.EWSM.EU"	"MAY 2016"	"ACTIVE"	"APRIL 2012"	
"EXAA"	"AUSTRIA"	"AT"	"XWBO"	"S"	"WIENER BOERSE AG, AUSTRIAN ENERGY EXCHANGE"	"EXAA"	"VIENNA"	"WWW.EXAA.AT"	"MAY 2016"	"ACTIVE"	"MAY 2007"	
"EXBO"	"UNITED KINGDOM"	"GB"	"EXEU"	"S"	"EXANE BNP PARIBAS - BID-OFFER CROSSING"		"LONDON"	"WWW.EXANE.COM"	"JULY 2015"	"ACTIVE"	"JULY 2015"	"BID-OFFER CROSSING NETWORK TO BE OPERATED BY EXANE BNP PARIBAS."
"EXCP"	"UNITED KINGDOM"	"GB"	"EXEU"	"S"	"EXANE BNP PARIBAS - CLOSING PRICE"		"LONDON"	"WWW.EXANE.COM"	"JULY 2015"	"ACTIVE"	"JULY 2015"	"EXCP IS THE IDENTIFIER TO BE USED FOR CLIENT EXECUTIONS EXECUTED UNDER EXANE'S CLOSING PRICE MECHANISM."
"EXDC"	"UNITED KINGDOM"	"GB"	"EXEU"	"S"	"EXANE BNP PARIBAS - DIRECT CAPITAL ACCESS"	"EXDC"	"LONDON"	"WWW.EXANE.COM"	"SEPTEMBER 2016"	"ACTIVE"	"SEPTEMBER 2016"	
"EXEU"	"UNITED KINGDOM"	"GB"	"EXEU"	"O"	"EXANE BNP PARIBAS"	"EXEU"	"LONDON"	"WWW.EXANE.COM"	"JULY 2015"	"ACTIVE"	"JULY 2015"	"OPERATING MIC COVERING THE CROSSING MECHANISMS OPERATED BY EXANE BNP PARIBAS."
"EXLP"	"UNITED KINGDOM"	"GB"	"EXEU"	"S"	"EXANE BNP PARIBAS - LIQUIDITY PROVISION"	"EXLP"	"LONDON"	"WWW.EXANE.COM"	"SEPTEMBER 2016"	"ACTIVE"	"SEPTEMBER 2016"	
"EXMP"	"UNITED KINGDOM"	"GB"	"EXEU"	"S"	"EXANE BNP PARIBAS - MID POINT"	"EXANE BNP PARIBAS"	"LONDON"	"WWW.EXANE.COM"	"JULY 2015"	"ACTIVE"	"JULY 2015"	"EUROPEAN MID-POINT CROSSING NETWORK OPERATED BY EXANE BNP PARIBAS."
"EXOR"	"UNITED KINGDOM"	"GB"	"EXEU"	"S"	"EXANE BNP PARIBAS - CHILD ORDER CROSSING"		"LONDON"	"WWW.EXANE.COM"	"AUGUST 2015"	"ACTIVE"	"JULY 2015"	"SMART ORDER ROUTING CROSSING MECHANISM OPERATED BY EXANE BNP PARIBAS."
"EXSI"	"UNITED KINGDOM"	"GB"	"EXEU"	"S"	"EXANE BNP PARIBAS - SYSTEMATIC INTERNALISER"		"LONDON"	"WWW.EXANE.COM"	"JULY 2015"	"ACTIVE"	"JULY 2015"	"EXSI IS THE IDENTIFIER TO BE USED FOR CLIENT EXECUTIONS EXECUTED UNDER THE SYSTEMATIC INTERNALISER REGIME BY EXANE BNP PARIBAS."
"EXTR"	"TURKEY"	"TR"	"EXTR"	"O"	"ENERGY EXCHANGE ISTANBUL"	"EXIST"	"ISTANBUL"	"HTTPS://WWW.EPIAS.COM.TR"	"MAY 2016"	"ACTIVE"	"MAY 2016"	"LICENSED ENERGY MARKET OPERATOR FOR DAY AHEAD/INTRADAY ELECTRICITY MARKETS AND ESTABLISHMENT OF NATURAL GAS MARKET."
"EXVP"	"UNITED KINGDOM"	"GB"	"EXEU"	"S"	"EXANE BNP PARIBAS - VOLUME PROFILE CROSSING"		"LONDON"	"WWW.EXANE.COM"	"JULY 2015"	"ACTIVE"	"JULY 2015"	"CROSSING MECHANISM OPERATED BY EXANE BNP PARIBAS WHERE A BUY AND A SELL ORDER HAVE OPPOSITE VOLUME PROFILES FOR AN INTERVAL OF TIME."
"FAIR"	"UNITED KINGDOM"	"GB"	"FAIR"	"O"	"CANTOR SPREADFAIR"		"LONDON"	"WWW.SPREADFAIR.COM"	"SEPTEMBER 2007"	"ACTIVE"	"SEPTEMBER 2007"	
"FAST"	"UNITED STATES OF AMERICA"	"US"	"FAST"	"O"	"FASTMATCH"		"NEW YORK"	"WWW.FASTMATCH.COM"	"FEBRUARY 2017"	"ACTIVE"	"MAY 2012"	"ELECTRONIC TRADING PLATFORM FOR OTC FOREIGN EXCHANGE PRODUCTS"
"FCBT"	"UNITED STATES OF AMERICA"	"US"	"XCBT"	"S"	"CHICAGO BOARD OF TRADE (FLOOR)"	"CBOT (FLOOR)"	"CHICAGO"	"WWW.CBOT.COM"	"FEBRUARY 2007"	"ACTIVE"	"FEBRUARY 2007"	
"FCME"	"UNITED STATES OF AMERICA"	"US"	"XCME"	"S"	"CHICAGO MERCANTILE EXCHANGE (FLOOR)"	"CME (FLOOR)"	"CHICAGO"	"WWW.CME.COM"	"FEBRUARY 2007"	"ACTIVE"	"FEBRUARY 2007"	
"FGEX"	"FINLAND"	"FI"	"FGEX"	"O"	"KAASUPORSSI - FINNISH GAS EXCHANGE"		"ESPOO"	"WWW.KAASUPORSSI.COM"	"SEPTEMBER 2015"	"ACTIVE"	"SEPTEMBER 2015"	"THE FINNISH GAS EXCHANGE"
"FICX"	"GERMANY"	"DE"	"FICX"	"O"	"FINANCIAL INFORMATION CONTRIBUTORS EXCHANGE"	"FICONEX"	"RODGAU"	"WWW.FICONEX.COM"	"AUGUST 2016"	"ACTIVE"	"AUGUST 2016"	"GLOBAL, CLOUD BASED PLATFORM FOR CONTRIBUTORS INFORMATION EXCHANGE IN REAL-TIME."
"FIED"	"SWEDEN"	"SE"	"XSTO"	"S"	"NASDAQ STOCKHOLM AB - FINNISH EQ DERIVATIVES"		"STOCKHOLM"	"WWW.NASDAQOMXNORDIC.COM"	"APRIL 2017"	"ACTIVE"	"APRIL 2017"	
"FINN"	"UNITED STATES OF AMERICA"	"US"	"FINR"	"S"	"FINRA/NASDAQ TRF(TRADE REPORTING FACILITY)"		"WASHINGTON"	"WWW.FINRA.ORG"	"APRIL 2013"	"ACTIVE"	"JULY 2010"	"FINRA HAS TWO TRF PARTICIPANTS, NYSE AND NASDAQ."
"FINO"	"UNITED STATES OF AMERICA"	"US"	"FINR"	"S"	"FINRA ORF (TRADE REPORTING FACILITY)"		"WASHINGTON"	"WWW.FINRA.ORG/"	"JULY 2010"	"ACTIVE"	"JULY 2010"	"OTC REPORTING FACILITY."
"FINR"	"UNITED STATES OF AMERICA"	"US"	"FINR"	"O"	"FINRA"		"WASHINGTON"	"WWW.FINRA.ORG/INDUSTRY/COMPLIANCE/MARKETTRANSPARENCY/ADF/"	"JANUARY 2013"	"ACTIVE"	"JANUARY 2013"	
"FINY"	"UNITED STATES OF AMERICA"	"US"	"FINR"	"S"	"FINRA/NYSE TRF (TRADE REPORTING FACILITY)"		"WASHINGTON"	"WWW.FINRA.ORG/INDUSTRY/COMPLIANCE/MARKETTRANSPARENCY/TRF/PARTICIPANTS/"	"JULY 2010"	"ACTIVE"	"JULY 2010"	"FINRA HAS TWO TRF PARTICIPANTS, NYSE AND NASDAQ."
"FISH"	"NORWAY"	"NO"	"FISH"	"O"	"FISH POOL ASA"		"BERGEN"	"WWW.FISHPOOL.EU"	"JUNE 2007"	"ACTIVE"	"JUNE 2007"	
"FMTS"	"FRANCE"	"FR"	"FMTS"	"O"	"MTS FRANCE SAS"		"PARIS"	"WWW.MTSFRANCE.COM"	"NOVEMBER 2005"	"ACTIVE"	"NOVEMBER 2005"	
"FNCS"	"UNITED STATES OF AMERICA"	"US"	"BGCF"	"S"	"FENICS - US TREASURIES"		"NEW YORK"	"WWW.FENICSUST.COM"	"MAY 2017"	"ACTIVE"	"MAY 2017"	"FENICS IS BGC FINANCIAL, L.P. SEGMENT."
"FNDK"	"DENMARK"	"DK"	"XCSE"	"S"	"FIRST NORTH DENMARK"		"COPENHAGEN"	"WWW.NASDAQOMXNORDIC.COM"	"NOVEMBER 2015"	"ACTIVE"	"NOVEMBER 2015"	"FIRST NORTH IS OPERATED BY NASDAQ. FIRST NORTH IS A NORDIC ALTERNATIVE MTF MARKETPLACE FOR TRADING SHARES AND OTHER TYPES OF FINANCIAL INSTRUMENTS."
"FNEE"	"ESTONIA"	"EE"	"XTAL"	"S"	"FIRST NORTH ESTONIA"		"TALLINN"	"WWW.NASDAQBALTIC.COM"	"NOVEMBER 2015"	"ACTIVE"	"NOVEMBER 2009"	"FIRST NORTH IS OPERATED BY NASDAQ. FIRST NORTH IS A NORDIC ALTERNATIVE MTF MARKETPLACE FOR TRADING SHARES AND OTHER TYPES OF FINANCIAL INSTRUMENTS."
"FNFI"	"FINLAND"	"FI"	"XHEL"	"S"	"FIRST NORTH FINLAND"		"HELSINKI"	"WWW.NASDAQOMXNORDIC.COM"	"NOVEMBER 2015"	"ACTIVE"	"MARCH 2008"	"FIRST NORTH IS OPERATED BY NASDAQ. FIRST NORTH IS A NORDIC ALTERNATIVE MTF MARKETPLACE FOR TRADING SHARES AND OTHER TYPES OF FINANCIAL INSTRUMENTS."
"FNIS"	"ICELAND"	"IS"	"XICE"	"S"	"FIRST NORTH ICELAND"		"REYKJAVIK"	"WWW.NASDAQOMXNORDIC.COM"	"NOVEMBER 2015"	"ACTIVE"	"NOVEMBER 2015"	"FIRST NORTH IS OPERATED BY NASDAQ. FIRST NORTH IS A NORDIC ALTERNATIVE MTF MARKETPLACE FOR TRADING SHARES AND OTHER TYPES OF FINANCIAL INSTRUMENTS."
"FNLT"	"LITHUANIA"	"LT"	"XLIT"	"S"	"FIRST NORTH LITHUANIA"		"VILNIUS"	"WWW.NASDAQBALTIC.COM"	"NOVEMBER 2015"	"ACTIVE"	"OCTOBER 2009"	"FIRST NORTH IS OPERATED BY NASDAQ. FIRST NORTH IS A NORDIC ALTERNATIVE MTF MARKETPLACE FOR TRADING SHARES AND OTHER TYPES OF FINANCIAL INSTRUMENTS."
"FNLV"	"LATVIA"	"LV"	"XRIS"	"S"	"FIRST NORTH LATVIA"		"RIGA"	"WWW.NASDAQBALTIC.COM"	"NOVEMBER 2015"	"ACTIVE"	"MARCH 2008"	"FIRST NORTH IS OPERATED BY NASDAQ. FIRST NORTH IS A NORDIC ALTERNATIVE MTF MARKETPLACE FOR TRADING SHARES AND OTHER TYPES OF FINANCIAL INSTRUMENTS."
"FNSE"	"SWEDEN"	"SE"	"XSTO"	"S"	"FIRST NORTH SWEDEN"		"STOCKHOLM"	"NASDAQOMXNORDIC.COM/FIRSTNORTH"	"NOVEMBER 2015"	"ACTIVE"	"JANUARY 2008"	"FIRST NORTH IS OPERATED BY NASDAQ. FIRST NORTH IS A NORDIC ALTERNATIVE MTF MARKETPLACE FOR TRADING SHARES AND OTHER TYPES OF FINANCIAL INSTRUMENTS."
"FRAA"	"GERMANY"	"DE"	"XFRA"	"S"	"BOERSE FRANKFURT - REGULIERTER MARKT"		"FRANKFURT"	"WWW.DEUTSCHE-BOERSE.COM"	"MARCH 2008"	"ACTIVE"	"MARCH 2008"	
"FRAB"	"GERMANY"	"DE"	"XFRA"	"S"	"BOERSE FRANKFURT - FREIVERKEHR"		"FRANKFURT"	"WWW.DEUTSCHE-BOERSE.COM"	"MARCH 2008"	"ACTIVE"	"MARCH 2008"	
"FREI"	"NORWAY"	"NO"	"NORX"	"S"	"NASDAQ COMMODITIES - FREIGHT COMMODITY"		"OSLO"	"WWW.NASDAQOMX.COM/COMMODITIES/"	"APRIL 2017"	"ACTIVE"	"APRIL 2017"	
"FSEF"	"UNITED STATES OF AMERICA"	"US"	"FSEF"	"O"	"FTSEF LLC"		"GREAT NECK"	"WWW.FTSEF.COM"	"NOVEMBER 2016"	"ACTIVE"	"NOVEMBER 2016"	"SWAP EXECUTION FACILITY (SEF)."
"FSHX"	"NORWAY"	"NO"	"FSHX"	"O"	"FISHEX"		"TROMSO"	"WWW.FISHEX.NO"	"SEPTEMBER 2007"	"ACTIVE"	"SEPTEMBER 2007"	
"FTFS"	"CZECH REPUBLIC"	"CZ"	"FTFS"	"O"	"42 FINANCIAL SERVICES"	"42FS"	"PRAGUE"	"WWW.42FS.COM"	"JULY 2016"	"ACTIVE"	"JULY 2016"	"42 FS ENERGY."
"FXAL"	"UNITED STATES OF AMERICA"	"US"	"FXAL"	"O"	"FXALL"		"NEW YORK"	"WWW.FXALL.COM"	"FEBRUARY 2009"	"ACTIVE"	"FEBRUARY 2009"	
"FXCL"	"INDIA"	"IN"	"CDSL"	"S"	"CLEARCORP DEALING SYSTEMS INDIA LIMITED – FX-CLEAR"	"FXCLR"	"MUMBAI"	"WWW.CCILINDIA.COM"	"OCTOBER 2016"	"ACTIVE"	"OCTOBER 2016"	"FX-CLEAR, A FOREX DEALING SYSTEM, OFFERS BOTH ORDER MATCHING AND NEGOTIATION MODES FOR DEALING COVERS INTER-BANK USD-INR SPOT AND SWAP TRANSACTIONS AND TRANSACTIONS IN MAJOR CROSS CURRENCIES."
"FXCM"	"UNITED STATES OF AMERICA"	"US"	"FXCM"	"O"	"FXCM"		"NEW YORK"	"WWW.FXCM.COM"	"AUGUST 2011"	"ACTIVE"	"AUGUST 2011"	"REGISTERED & REGULATED MARKET FOR OTC FOREIGN EXCHANGE OPTIONS TRADING. MARKET FOR SPOT FX AND OPTIONS."
"FXOP"	"UNITED KINGDOM"	"GB"	"TFSV"	"S"	"TRADITION-NEX OTF"		"LONDON"	"WWW.TRADITION.COM"	"APRIL 2017"	"ACTIVE"	"APRIL 2017"	"FX OPTIONS TRADING FACILITY."
"FXSW"	"INDIA"	"IN"	"CDSL"	"S"	"CLEARCORP DEALING SYSTEMS INDIA LIMITED – FX-SWAP"	"FXSWAP"	"MUMBAI"	"WWW.CCILINDIA.COM"	"OCTOBER 2016"	"ACTIVE"	"OCTOBER 2016"	"FX-SWAP, A FOREX SWAP DEALING SYSTEM, OFFERS AN ORDER MATCHING SYSTEM FOR FOREX SWAPS. THE PLATFORM OFFERS SWAP INSTRUMENTS EXTENDING UP TO 12 MONTHS."
"G1XX"	"UNITED STATES OF AMERICA"	"US"	"G1XX"	"O"	"G1 EXECUTION SERVICES"		"CHICAGO"	"WWW.G1X.COM"	"SEPTEMBER 2014"	"ACTIVE"	"SEPTEMBER 2014"	"WHOLESALE MARKET MAKER IN NMS AND OTC EQUITY SECURITIES"
"GBOT"	"MAURITIUS"	"MU"	"GBOT"	"O"	"BOURSE AFRICA LIMITED"	"BAFR"	"EBENE"	"WWW.BOURSEAFRICA.COM"	"DECEMBER 2013"	"ACTIVE"	"OCTOBER 2010"	"MULTI-ASSET CLASS EXCHANGE PROVIDING AN ELECTRONIC PLATFORM FOR TRADING ON COMMODITY DERIVATIVES, CURRENCY DERIVATIVES, EQUITY,  EQUITY DERIVATIVES AND BONDS."
"GEMX"	"UNITED KINGDOM"	"GB"	"GEMX"	"O"	"GEMMA (GILT EDGED MARKET MAKERS’ASSOCIATION)"	"GEMMA"	"LONDON"		"JUNE 2005"	"ACTIVE"	"JUNE 2005"	
"GETB"	"LITHUANIA"	"LT"	"GETB"	"O"	"LITHUANIAN NATURAL GAS EXCHANGE"	"GET BALTIC"	"VILNIUS"	"WWW.GETBALTIC.LT"	"NOVEMBER 2014"	"ACTIVE"	"NOVEMBER 2014"	"LITHUANIAN NATURAL GAS EXCHANGE FOR PHYSICAL DELIVERY PRODUCTS TRADING."
"GFIC"	"UNITED KINGDOM"	"GB"	"GFIC"	"O"	"GFI CREDITMATCH"		"LONDON"	"WWW.GFIGROUP.COM"	"APRIL 2014"	"ACTIVE"	"AUGUST 2007"	
"GFIF"	"UNITED KINGDOM"	"GB"	"GFIC"	"S"	"GFI FOREXMATCH"		"LONDON"	"WWW.GFIGROUP.COM"	"APRIL 2014"	"ACTIVE"	"AUGUST 2007"	
"GFIN"	"UNITED KINGDOM"	"GB"	"GFIC"	"S"	"GFI ENERGYMATCH"		"LONDON"	"WWW.GFIGROUP.COM"	"APRIL 2014"	"ACTIVE"	"APRIL 2009"	"ADDITIONAL PRODUCTS: DRY FREIGHT DERIVATIVES AND UK GAS TRADING"
"GFIR"	"UNITED KINGDOM"	"GB"	"GFIC"	"S"	"GFI RATESMATCH"		"LONDON"	"WWW.GFIGROUP.COM"	"APRIL 2014"	"ACTIVE"	"SEPTEMBER 2010"	"ELECTRONIC PLATFORM FOR TRADING INTEREST RATE DERVIATIVES."
"GLBX"	"UNITED STATES OF AMERICA"	"US"	"XCME"	"S"	"CME GLOBEX"		"CHICAGO"	"WWW.CME.COM"	"SEPTEMBER 2008"	"ACTIVE"	"SEPTEMBER 2008"	
"GLLC"	"UNITED STATES OF AMERICA"	"US"	"GLLC"	"O"	"GATE US LLC"		"NEW YORK"	"WWW.GATEUS.COM"	"JULY 2010"	"ACTIVE"	"JULY 2010"	"ALTERNATIVE TRADING SYSTEM."
"GLPS"	"UNITED STATES OF AMERICA"	"US"	"GLPS"	"O"	"ESSEX RADEZ, LLC"	"GLPS"	"CHICAGO"	"WWW.ESSEXRADEZ.COM"	"SEPTEMBER 2014"	"ACTIVE"	"SEPTEMBER 2014"	"ELECTRONIC TRADING SYSTEM"
"GLPX"	"UNITED STATES OF AMERICA"	"US"	"GLPX"	"O"	"ACS EXECUTION SERVICES, LLC"	"GLPX"	"RED BANK"		"MARCH 2016"	"ACTIVE"	"MARCH 2016"	"EXECUTION SERVICES"
"GMEG"	"UNITED KINGDOM"	"GB"	"GMEG"	"O"	"GMEX EXCHANGE"	"GMEX"	"LONDON"	"WWW.GMEX-GROUP.COM"	"MAY 2016"	"ACTIVE"	"JUNE 2013"	"MTF FOR DERIVATIVES AND SECURITIES"
"GMNI"	"UNITED STATES OF AMERICA"	"US"	"XISX"	"S"	"ISE GEMINI EXCHANGE"		"NEW YORK"	"WWW.ISE.COM"	"MAY 2013"	"ACTIVE"	"MAY 2013"	"ISE GEMINI EXCHANGE IS A NATIONAL SECURITIES EXCHANGE REGISTERED WITH THE UNITED STATES SECURITIES & EXCHANGE COMMISSION. ISE GEMINI EXCHANGE WILL FACILITATE THE ELECTRONIC TRADING OF EQUITY & INDEX OPTIONS."
"GMTF"	"FRANCE"	"FR"	"GMTF"	"O"	"GALAXY"		"PARIS"	"WWW.TRADINGSCREEN.COM"	"APRIL 2011"	"ACTIVE"	"APRIL 2011"	"MULTILATERAL TRADING FACILITY FOR EURO DENOMINATED GOVERNMENT AND CORPORATE BONDS."
"GMTS"	"UNITED KINGDOM"	"GB"	"XMTS"	"S"	"MTS GERMANY"		"LONDON"	"WWW.MTSGERMANY.COM"	"FEBRUARY 2011"	"ACTIVE"	"FEBRUARY 2011"	
"GOTC"	"UNITED STATES OF AMERICA"	"US"	"GOTC"	"O"	"GLOBAL OTC"		"CHICAGO"	"WWW.GLOBALOTC.COM"	"MAY 2017"	"ACTIVE"	"MAY 2017"	"ELECTRONIC TRADING PLATFORM FOR OTC EQUITY SECURITIES."
"GOVX"	"UNITED STATES OF AMERICA"	"US"	"GOVX"	"O"	"GOVEX"	"GOVEX"	"BOSTON"	"WWW.GOVEX.COM"	"MARCH 2012"	"ACTIVE"	"MARCH 2012"	"TRADING PLATFORM FOR US TREASURY SECURITIES - OPERATED BY STATE STREET"
"GREE"	"UNITED STATES OF AMERICA"	"US"	"GREE"	"O"	"THE GREEN EXCHANGE"		"CHICAGO"	"WWW.NYMEX.GREENFUTURES.COM/"	"SEPTEMBER 2009"	"ACTIVE"	"SEPTEMBER 2009"	"ELECTRONIC TRADING PLATFORM FOR VARIOUS ENVIRONMENTAL CONTRACTS."
"GRIF"	"UNITED KINGDOM"	"GB"	"GRIF"	"O"	"GRIFFIN MARKETS LIMITED"		"LONDON"	"WWW.GRIFFINMARKETS.COM"	"OCTOBER 2012"	"ACTIVE"	"OCTOBER 2012"	"TRADING VENUE FOR EUROPEAN ENERGY MARKETS."
